0	8	0	8
1	9	8	8
2	15	17	8
3	23	26	8
4	30	34	8
5	39	44	9
6	47	53	8
7	56	62	8
8	64	70	8
9	73	79	8
10	81	87	8
11	89	96	8
12	98	104	8
13	106	112	8
14	114	121	8
15	123	129	8
16	132	139	9
17	142	148	9
18	148	155	6
19	156	163	8
20	165	172	8
21	177	183	11
22	187	194	10
23	196	203	9
24	205	212	8
25	216	223	10
26	225	232	8
27	234	242	9
28	243	250	8
29	252	259	8
30	259	266	7
31	266	273	6
32	273	281	7
33	281	288	7
34	288	296	7
35	296	303	7
36	303	311	7
37	311	319	7
38	318	325	6
39	324	332	6
40	330	338	6
41	336	344	6
42	342	350	6
43	347	355	4
44	348	356	1
45	348	356	0
46	347	356	0
47	346	358	1
48	345	358	0
49	345	358	0
50	346	359	0
51	346	360	0
52	347	361	0
53	347	361	0
54	348	362	0
55	348	363	0
56	349	363	0
57	349	364	0
58	349	364	0
59	349	364	0
60	350	365	0
61	350	365	0
62	350	365	0
63	350	365	0
64	350	366	0
65	351	367	1
66	354	370	2
67	358	374	3
68	361	379	4
69	364	384	4
70	367	390	6
71	370	397	7
72	372	405	7
73	375	413	8
