0	3	0	7
1	9	7	7
2	18	15	8
3	26	24	8
4	35	33	9
5	45	43	9
6	54	53	10
7	64	63	9
8	75	74	11
9	86	85	11
10	98	97	11
11	110	109	11
12	122	121	12
13	136	135	14
14	149	148	13
15	162	162	13
16	175	174	12
17	187	187	12
18	200	200	12
19	214	213	13
20	227	227	13
21	238	238	11
22	250	250	11
23	262	261	11
24	272	272	10
25	282	282	9
26	291	291	9
27	299	299	7
28	305	304	5
29	309	308	4
30	312	311	3
31	314	314	2
32	315	315	1
33	318	318	3
34	321	321	3
35	324	324	2
36	326	326	2
37	330	330	4
38	333	334	3
39	338	338	4
40	343	343	4
41	348	349	5
42	352	353	3
43	356	357	4
44	359	361	3
45	362	364	3
46	363	369	4
47	365	374	4
48	366	379	5
49	368	385	6
50	370	392	6
