0	4	0	10
1	14	10	10
2	25	21	10
3	36	32	11
4	48	44	11
5	60	56	12
6	72	68	12
7	84	80	12
8	96	92	11
9	108	104	11
10	120	116	12
11	132	128	12
12	145	141	12
13	157	153	12
14	169	165	12
15	181	177	12
16	193	189	11
17	205	201	11
18	216	212	11
19	227	223	11
20	238	234	11
21	249	245	11
22	260	256	10
23	271	267	10
24	282	278	11
25	293	289	11
26	304	300	11
27	314	310	10
28	324	320	9
29	333	329	9
30	342	338	8
31	348	345	6
32	354	351	6
33	359	356	5
34	363	361	5
35	366	367	5
36	369	374	7
37	372	380	6
38	376	388	7
