0	0	0	5
1	5	5	5
2	11	11	5
3	17	17	6
4	23	23	6
5	30	30	7
6	37	38	7
7	46	46	8
8	54	55	8
9	63	63	8
10	72	72	8
11	81	81	8
12	89	90	8
13	98	99	8
14	107	107	8
15	116	116	9
16	125	125	9
17	135	135	9
18	145	145	10
19	155	156	10
20	166	167	10
21	177	178	11
22	189	189	11
23	201	201	11
24	213	213	12
25	225	225	12
26	237	237	11
27	248	249	11
28	259	260	11
29	270	271	11
30	282	282	11
31	293	294	11
32	304	304	10
33	314	315	10
34	324	325	9
35	333	334	8
36	341	341	7
37	348	348	6
38	353	354	5
39	357	359	4
40	361	364	5
41	364	368	4
42	367	374	5
43	370	382	8
44	375	390	8
45	380	398	8
