54307	2	0	6
54308	4	6	6
54309	11	13	7
54310	19	21	7
54311	27	29	7
54312	35	37	8
54313	43	46	8
54314	52	54	8
54315	61	63	8
54316	69	72	8
54317	78	81	8
54318	87	89	8
54319	95	97	8
54320	103	105	7
54321	110	112	7
54322	116	119	6
54323	122	124	5
54324	127	129	5
54325	132	134	4
54326	136	138	4
54327	139	141	3
54328	142	144	2
54329	144	147	2
54330	146	149	2
54331	148	150	1
54332	150	152	1
54333	152	154	2
54334	154	156	2
54335	156	159	2
54336	158	160	1
54337	159	161	1
54338	160	162	0
54339	161	163	0
54340	161	163	0
54341	161	164	0
54342	161	164	0
54343	163	165	1
54344	164	167	1
54345	165	168	1
54346	166	169	0
54347	167	169	0
54348	167	170	0
54349	168	171	1
54350	169	172	1
54351	170	173	0
54352	171	173	0
54353	171	174	0
54354	171	174	0
54355	171	174	0
54356	171	174	0
54357	171	174	0
54358	171	174	0
54359	171	174	0
54360	172	175	0
54361	173	176	1
54362	176	179	3
54363	181	184	4
54364	186	189	5
54365	192	195	5
54366	198	201	6
54367	205	208	6
54368	211	214	6
54369	217	220	6
54370	223	226	5
54371	228	231	4
54372	232	235	4
54373	235	238	3
54374	239	242	3
54375	242	245	3
54376	245	248	2
54377	248	251	3
54378	252	255	4
54379	257	260	4
54380	262	265	5
54381	267	270	5
54382	273	276	6
54383	280	283	6
54384	287	290	6
54385	294	297	6
54386	300	303	6
54387	306	310	6
54388	312	316	5
54389	317	320	4
54390	320	324	3
54391	323	326	2
54392	325	328	1
54393	326	329	1
54394	327	330	0
54395	327	330	0
54396	327	331	0
54397	327	331	0
54398	328	332	0
54399	328	332	0
54400	328	333	0
54401	329	333	0
54402	329	333	0
54403	329	333	0
54404	329	333	0
54405	329	334	0
54406	329	334	0
54407	329	334	0
54408	329	334	0
54409	329	335	0
54410	329	336	0
54411	329	336	0
54412	330	337	0
54413	333	340	2
54414	337	344	4
54415	341	349	4
54416	346	354	4
54417	350	358	4
54418	353	361	3
54419	355	363	2
54420	356	364	1
54421	358	365	1
54422	360	368	2
54423	363	371	2
54424	365	374	3
54425	368	378	4
54426	370	384	5
54427	374	391	6
54428	378	398	7
